1	21	0.016227
2	29	0.000252
3	34	0.026149
4	32	0.016526
5	33	0.053379
6	34	0.037150
7	20	0.054270
8	26	0.062962
9	11	0.030205
10	19	0.056379
11	25	0.026263
12	31	0.012269
13	39	0.064577
14	14	0.027484
15	1	0.051412
16	8	0.023072
17	15	0.068184
18	29	0.018808
19	7	0.044740
20	19	0.055044
21	18	0.041048
22	17	0.056793
23	31	0.007898
24	2	0.162954
25	30	0.059760
26	38	0.062331
27	3	0.076281
28	10	0.090152
29	12	0.021012
30	28	0.061931
31	21	0.026177
32	13	0.066641
33	37	0.025347
34	32	0.006602
35	32	0.007779
36	40	0.133789
37	16	0.026877
38	12	0.071049
39	4	0.064023
40	24	0.112109
41	6	0.079464
42	36	0.047632
43	5	0.112793
44	14	0.033777
45	22	0.014031
46	23	0.027319
47	35	0.066806
48	9	0.083387
15	1	0.051412
24	2	0.162954
27	3	0.076281
39	4	0.064023
43	5	0.112793
41	6	0.079464
19	7	0.044740
16	8	0.023072
48	9	0.083387
28	10	0.090152
9	11	0.030205
38	12	0.071049
32	13	0.066641
44	14	0.033777
17	15	0.068184
37	16	0.026877
22	17	0.056793
21	18	0.041048
10	19	0.056379
7	20	0.054270
31	21	0.026177
45	22	0.014031
46	23	0.027319
40	24	0.112109
11	25	0.026263
8	26	0.062962
13	27	0.039392
30	28	0.061931
18	29	0.018808
25	30	0.059760
12	31	0.012269
4	32	0.016526
5	33	0.053379
6	34	0.037150
47	35	0.066806
42	36	0.047632
33	37	0.025347
26	38	0.062331
13	39	0.064577
36	40	0.133789
